OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
231837,Bill Gates,LO,9.46,Laminate,185058,4.5,9.8,832761,1813568.4,250342.76,2896672.16
231879,"Adams, Douglas",ZZ,9.46,Laminate,118060,4.5,9.8,531270,1156988,159709.21,1847967.21
231940,Apple,TX,8.19,Granite,286469,72.5,29.25,20769002.5,8379218.25,2387239.28,31535460.03
232028,Steve Jobs,XX,9.46,Distressed Red Oak,185477,18.57,23.33,3444307.89,4327178.41,735182.6,8506668.9
232124,Alex Trebek,TX,8.19,Tile,265093,1.5,14.3,397639.5,3790829.9,343035.64,4531505.04
232165,Monty Hall,TX,8.19,Disco Light Up Panels,141221,40.78,23.33,5758992.38,3294685.93,741496.25,9795174.56
232214,Ada Lovelace,WY,9.46,Mosaic Tile,240462,18.5,49.25,4448547,11842753.5,1541157.03,17832457.53
232273,"Monsters Inc.",XX,9.46,Wood,186008,12.5,9.25,2325100,1720574,382720.76,4428394.76
232279,"Thurston Howell, III",AK,1.76,Wood,197487,12.5,9.25,2468587.5,1826754.75,75598.02,4370940.27
232295,Penn Jillette,TX,8.19,Trampoline,71248,20.78,13.33,1480533.44,949735.84,199039.05,2629308.33
		232295,Apple,HI,4.35,Disco Light Up Panels,125204,40.78,23.33,5105819.12,2921009.32,349167.04,8375995.48
232321,Ada Lovelace,XX,9.46,Carpet,289593,12.5,6.3,3619912.5,1824435.9,515035.36,5959383.76
232341,Albert Einstein,RI,7,Bamboo,96319,18.5,9.25,1781901.5,890950.75,187099.66,2859951.91
232382,Albert Einstein,ZZ,9.46,Bamboo,129191,18.5,9.25,2390033.5,1195016.75,339145.75,3924196
232458,Monty Hall,WY,9.46,Bamboo,98795,18.5,9.25,1827707.5,913853.75,259351.69,3000912.94
232527,Bill Gates,TX,8.19,Disco Light Up Panels,114730,40.78,23.33,4678689.4,2676650.9,602402.37,7957742.67

232559,"Monsters Inc.",OH,7.14,Carpet,224448,12.5,6.3,2805600,1414022.4,301281.04,4520903.44
232649,"Alan M. Galloway, Jr.",TX,8.19,Carpet,116912,12.5,6.3,1461400,736545.6,180011.74,2377957.34
232748,"Thurston Howell, III",ZZ,9.46,Distressed Red Oak,170682,18.57,23.33,3169564.74,3982011.06,676539.07,7828114.87
232820,Apple,TX,8.19,Granite,176912,72.5,29.25,12826120,5174676,1474265.19,19475061.19
232820,Penn Jillette,LO,9.46,Trampoline,80164,20.78,13.33,1665807.92,1068586.12,258673.68,2993067.72
		232861,"Adams, Douglas",KY,6,Dirt,11265,0.78,3.33,8786.7,37512.45,2777.95,49077.1
232950,Steve Jobs,RI,7,Mosaic Tile,273954,18.5,49.25,5068149,13492234.5,1299226.85,19859610.35
233036,Steve Jobs,ZZ,9.46,Trampoline,252606,20.78,13.33,5249152.68,3367237.98,815110.56,9431501.22
233058,"Alphabet",KY,6,Carpet,230173,12.5,6.3,2877162.5,1450089.9,259635.14,4586887.54
233058,Penn Jillette,ZZ,9.46,Tile,53959,1.5,14.3,80938.5,771613.7,80651.44,933203.64
233144,Bill Gates,OH,7.14,Granite,51645,72.5,29.25,3744262.5,1510616.25,375198.34,5630077.09
233201,Jaden Smith,RI,7,Mosaic Tile,231856,18.5,49.25,4289336,11418908,1099577.08,16807821.08
233227,Charles Babbage,TX,8.19,Bamboo,25038,18.5,9.25,463203,231601.5,56904.49,751708.99
233292,"Tractor Supply Co.",TX,8.19,Straw,137620,1.8,3.25,247716,447265,56918.94,751899.94
233303,Elon Musk,RI,7,Distressed Red Oak,171121,18.57,23.33,3177716.97,3992252.93,501897.89,7671867.79
,what,wut?233303,Charles Babbage,LO,9.46,Granite,129401,72.5,29.25,9381572.5,3784979.25,1245555.8,14412107.55
		233331,"Monsters Inc.",TX,8.19,Dirt,215670,0.78,3.33,168222.6,718181.1,72596.46,959000.16
