OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
243315,Monty Hall,OH,7.14,Granite,295812,72.5,29.25,21446370,8652501,2149059.39,32247930.39
243390,"Alphabet",DN,9.46,Straw,173641,1.8,3.25,312553.8,564333.25,82953.51,959840.56
243390,The Boring Company,TX,8.19,Bamboo,272144,18.5,9.25,5034664,2517332,618508.47,8170504.47
243399,"Microsoft, Inc.",DN,9.46,Mosaic Tile,89593,18.5,49.25,1657470.5,4412455.25,574214.98,6644140.73
243478,"Alan M. Galloway, Jr.",WY,9.46,Asphalt,145391,10.78,13.33,1567314.98,1938062.03,331608.67,3836985.68
243539,Apple,LO,9.46,Straw,132476,1.8,3.25,238456.8,430547,63287.76,732291.56
243605,Steve Jobs,KY,6,Disco Light Up Panels,28311,40.78,23.33,1154522.58,660495.63,108901.09,1923919.3
243605,Elon Musk,HI,4.35,Asphalt,230016,10.78,13.33,2479572.48,3066113.28,241237.33,5786923.09
243678,Elon Musk,DN,9.46,Mosaic Tile,299542,18.5,49.25,5541527,14752443.5,1919809.61,22213780.11
243714,"Tractor Supply Co.",DN,9.46,Granite,187840,72.5,29.25,13618400,5494320,1808063.31,20920783.31
		243794,"Tractor Supply Co.",HI,4.35,Mosaic Tile,279874,18.5,49.25,5177669,13783794.5,824823.66,19786287.16
243862,"Thurston Howell, III",TX,8.19,Trampoline,36299,20.78,13.33,754293.22,483865.67,101405.21,1339564.1
243922,"Alphabet",II,9.46,Carpet,222861,12.5,6.3,2785762.5,1404024.3,396353.83,4586140.63
243922,"Alan M. Galloway, Sr.",II,9.46,Disco Light Up Panels,35670,40.78,23.33,1454622.6,832181.1,216331.63,2503135.33
243941,Bill Gates,RI,7,Asphalt,107823,10.78,13.33,1162331.94,1437280.59,181972.88,2781585.41
243955,Ada Lovelace,KY,6,Dirt,60710,0.78,3.33,47353.8,202164.3,14971.09,264489.19

244025,"Tractor Supply Co.",AK,1.76,Granite,148806,72.5,29.25,10788435,4352575.5,266481.78,15407492.28
244027,Steve Jobs,XX,9.46,Tile,286180,1.5,14.3,429270,4092374,427747.52,4949391.52
244027,Alex Trebek,LO,9.46,Distressed Red Oak,19897,18.57,23.33,369487.29,464197.01,78866.53,912550.83
244087,Albert Einstein,KY,6,Wood,190544,12.5,9.25,2381800,1762532,248659.92,4392991.92
244089,Grace Murray Hopper,ZZ,9.46,Carpet,161026,12.5,6.3,2012825,1014463.8,286381.52,3313670.32
		244170,Bill Gates,XX,9.46,Asphalt,51911,10.78,13.33,559600.58,691973.63,118398.92,1369973.13
244209,Charles Darwin,DN,9.46,Laminate,171020,4.5,9.8,769590,1675996,231352.44,2676938.44
244209,"Tractor Supply Co.",HI,4.35,Distressed Red Oak,32015,18.57,23.33,594518.55,746909.95,58352.14,1399780.64
244229,"Thurston Howell, III",HI,4.35,Bamboo,151495,18.5,9.25,2802657.5,1401328.75,182873.4,4386859.65
244255,Charles Babbage,LO,9.46,Straw,240150,1.8,3.25,432270,780487.5,114726.86,1327484.36
244264,"Microsoft, Inc.",DN,9.46,Bamboo,144152,18.5,9.25,2666812,1333406,378420.62,4378638.62
244291,Albert Einstein,AK,1.76,Distressed Red Oak,95027,18.57,23.33,1764651.39,2216979.91,70076.71,4051708.01
244321,Ada Lovelace,LO,9.46,Carpet,86349,12.5,6.3,1079362.5,543998.7,153569.97,1776931.17
244321,Jaden Smith,KY,6,Wood,105199,12.5,9.25,1314987.5,973090.75,137284.7,2425362.95
244417,Jaden Smith,HI,4.35,Tile,243657,1.5,14.3,365485.5,3484295.1,167465.46,4017246.06
,what,wut?244444,Jean Ichbiah,ZZ,9.46,Asphalt,112649,10.78,13.33,1214356.22,1501611.17,256930.52,2972897.91
		244509,Bill Gates,OH,7.14,Marble,291647,88.73,34.25,25877838.31,9988909.75,2560885.81,38427633.87
