OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
268968,Charles Darwin,TX,8.19,Distressed Red Oak,108858,18.57,23.33,2021493.06,2539657.14,373558.2,4934708.4
269030,Charles Darwin,AK,1.76,Trampoline,119727,20.78,13.33,2487927.06,1595960.91,71876.43,4155764.4
269044,Albert Einstein,ZZ,9.46,Dirt,21765,0.78,3.33,16976.7,72477.45,8462.36,97916.51
269082,Albert Einstein,KY,6,Laminate,9616,4.5,9.8,43272,94236.8,8250.53,145759.33
269162,Grace Murray Hopper,OH,7.14,Distressed Red Oak,96461,18.57,23.33,1791280.77,2250435.13,288578.52,4330294.42
269253,Steve Jobs,TX,8.19,Asphalt,105764,10.78,13.33,1140135.92,1409834.12,208842.55,2758812.59
269264,Jaden Smith,DN,9.46,Mosaic Tile,273990,18.5,49.25,5068815,13494007.5,1756043.01,20318865.51
269294,"Tractor Supply Co.",XX,9.46,Distressed Red Oak,40055,18.57,23.33,743821.35,934483.15,158767.61,1837072.11
269296,Monty Hall,XX,9.46,Dirt,223826,0.78,3.33,174584.28,745340.58,87024.89,1006949.75
269378,Thomas J. Watson,TX,8.19,Straw,35515,1.8,3.25,63927,115423.75,14688.83,194039.58
		269462,Thomas J. Watson,OH,7.14,Granite,4435,72.5,29.25,321537.5,129723.75,32220.05,483481.3
269473,Bill Gates,LO,9.46,Dirt,247610,0.78,3.33,193135.8,824541.3,96272.25,1113949.35
269544,Bill Gates,OH,7.14,Trampoline,138801,20.78,13.33,2884284.78,1850217.33,338043.45,5072545.56
269563,"Alphabet",RI,7,Laminate,280998,4.5,9.8,1264491,2753780.4,281279,4299550.4
269563,Apple,KY,6,Bamboo,187948,18.5,9.25,3477038,1738519,312933.42,5528490.42
269649,"Adams, Douglas",HI,4.35,Mosaic Tile,215175,18.5,49.25,3980737.5,10597368.75,634147.62,15212253.87

269724,Monty Hall,HI,4.35,Disco Light Up Panels,245843,40.78,23.33,10025477.54,5735517.19,685603.27,16446598
269724,Bill Gates,RI,7,Granite,106998,72.5,29.25,7757355,3129691.5,762093.26,11649139.76
269752,"Thurston Howell, III",LO,9.46,Marble,244460,88.73,34.25,21690935.8,8372755,2844025.15,32907715.95
269752,"Microsoft, Inc.",AK,1.76,Carpet,136933,12.5,6.3,1711662.5,862677.9,45308.39,2619648.79
269785,Charles Darwin,XX,9.46,Bamboo,20369,18.5,9.25,376826.5,188413.25,53471.68,618711.43
		269805,Louisville Llama Farm,DN,9.46,Carpet,31336,12.5,6.3,391700,197416.8,55730.45,644847.25
269837,Grace Murray Hopper,HI,4.35,Granite,17703,72.5,29.25,1283467.5,517812.75,78355.69,1879635.94
269894,"Microsoft, Inc.",DN,9.46,Trampoline,192779,20.78,13.33,4005947.62,2569744.07,622060.43,7197752.12
269914,Apple,DN,9.46,Mosaic Tile,135031,18.5,49.25,2498073.5,6650276.75,865433.93,10013784.18
269965,Thomas J. Watson,AK,1.76,Marble,59050,88.73,34.25,5239506.5,2022462.5,127810.65,7389779.65
270042,Thomas J. Watson,HI,4.35,Disco Light Up Panels,225837,40.78,23.33,9209632.86,5268777.21,629810.84,15108220.91
270080,"Tractor Supply Co.",LO,9.46,Marble,66924,88.73,34.25,5938166.52,2292147,778587.66,9008901.18
270154,"Alphabet",LO,9.46,Dirt,37757,0.78,3.33,29450.46,125730.81,14680.15,169861.42
270227,Charles Babbage,WY,9.46,Trampoline,208309,20.78,13.33,4328661.02,2776758.97,672172.73,7777592.72
270241,Elon Musk,DN,9.46,Wood,147320,12.5,9.25,1841500,1362710,303118.27,3507328.27
,what,wut?
