OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
223235,"Tractor Supply Co.",RI,7,Bamboo,72047,18.5,9.25,1332869.5,666434.75,139951.3,2139255.55
223299,Jean Ichbiah,ZZ,9.46,Straw,135221,1.8,3.25,243397.8,439468.25,64599.13,747465.18
223345,"Thurston Howell, III",WY,9.46,Trampoline,193740,20.78,13.33,4025917.2,2582554.2,625161.39,7233632.79
223436,Jean Ichbiah,II,9.46,Wood,223177,12.5,9.25,2789712.5,2064387.25,459197.84,5313297.59
223520,Bill Gates,WY,9.46,Marble,290845,88.73,34.25,25806676.85,9961441.25,3383663.97,39151782.07
223580,Bill Gates,KY,6,Distressed Red Oak,159202,18.57,23.33,2956381.14,3714182.66,400233.83,7070797.63
223580,The Boring Company,DN,9.46,Wood,267529,12.5,9.25,3344112.5,2474643.25,550454.29,6369210.04
223610,Charles Darwin,HI,4.35,Marble,184782,88.73,34.25,16395706.86,6328783.5,988515.33,23713005.69
223628,"Alphabet",WY,9.46,Marble,289715,88.73,34.25,25706411.95,9922738.75,3370517.66,38999668.36
223635,Jaden Smith,HI,4.35,Laminate,154490,4.5,9.8,695205,1514002,96100.5,2305307.5
		223709,"Monsters Inc.",AK,1.76,Bamboo,65357,18.5,9.25,1209104.5,604552.25,31920.36,1845577.11
223801,Penn Jillette,WY,9.46,Laminate,163036,4.5,9.8,733662,1597752.8,220551.84,2551966.64
223885,The Boring Company,AK,1.76,Tile,26042,1.5,14.3,39063,372400.6,7241.76,418705.36
223940,Grace Murray Hopper,HI,4.35,Asphalt,37709,10.78,13.33,406503.02,502660.97,39548.63,948712.62
223982,Steve Jobs,LO,9.46,Distressed Red Oak,240565,18.57,23.33,4467292.05,5612381.45,953537.11,11033210.61
224037,Thomas J. Watson,RI,7,Trampoline,251795,20.78,13.33,5232300.1,3356427.35,601210.92,9189938.37

224049,Bill Gates,HI,4.35,Marble,272798,88.73,34.25,24205366.54,9343331.5,1459368.36,35008066.4
224049,Steve Jobs,II,9.46,Marble,297437,88.73,34.25,26391585.01,10187217.25,3460354.69,40039156.95
224065,"Monsters Inc.",KY,6,Marble,197419,88.73,34.25,17516987.87,6761600.75,1456715.32,25735303.94
224120,"Alan M. Galloway, Jr.",AK,1.76,Dirt,250773,0.78,3.33,195602.94,835074.09,18139.92,1048816.95
224158,Monty Hall,TX,8.19,Straw,101054,1.8,3.25,181897.2,328425.5,41795.43,552118.13
		224240,Jean Ichbiah,RI,7,Wood,54330,12.5,9.25,679125,502552.5,82717.43,1264394.93
