OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
291177,"Alphabet",WY,9.46,Straw,172326,1.8,3.25,310186.8,560059.5,82325.3,952571.6
291182,Grace Murray Hopper,OH,7.14,Disco Light Up Panels,266639,40.78,23.33,10873538.42,6220687.87,1220527.76,18314754.05
291263,"Monsters Inc.",DN,9.46,Tile,230709,1.5,14.3,346063.5,3299138.7,344836.13,3990038.33
291263,Alex Trebek,RI,7,Dirt,45159,0.78,3.33,35224.02,150379.47,12992.24,198595.73
291331,Apple,HI,4.35,Marble,114759,88.73,34.25,10182566.07,3930495.75,613918.19,14726980.01
291400,Elon Musk,HI,4.35,Tile,23577,1.5,14.3,35365.5,337151.1,16204.47,388721.07
291419,Penn Jillette,ZZ,9.46,Dirt,284865,0.78,3.33,222194.7,948600.45,110757.22,1281552.37
291495,Penn Jillette,HI,4.35,Trampoline,85084,20.78,13.33,1768045.52,1134169.72,126246.36,3028461.6
291579,Thomas J. Watson,II,9.46,Granite,204874,72.5,29.25,14853365,5992564.5,1972024.93,22817954.43
291627,Penn Jillette,OH,7.14,Tile,272407,1.5,14.3,408610.5,3895420.1,307307.78,4611338.38
		291627,Elon Musk,LO,9.46,Disco Light Up Panels,249772,40.78,23.33,10185702.16,5827180.76,1514818.72,17527701.64
291700,"Adams, Douglas",II,9.46,Distressed Red Oak,176200,18.57,23.33,3272034,4110746,698410.99,8081190.99
291761,Albert Einstein,XX,9.46,Tile,172067,1.5,14.3,258100.5,2460558.1,257185.1,2975843.7
291851,Jean Ichbiah,AK,1.76,Straw,120695,1.8,3.25,217251,392258.75,10727.37,620237.12
291851,Ada Lovelace,KY,6,Distressed Red Oak,201383,18.57,23.33,3739682.31,4698265.39,506276.86,8944224.56
291919,"Thurston Howell, III",KY,6,Trampoline,150310,20.78,13.33,3123441.8,2003632.3,307624.45,5434698.55

291924,Charles Babbage,XX,9.46,Distressed Red Oak,204888,18.57,23.33,3804770.16,4780037.04,812122.76,9396929.96
