OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
245699,"Alan M. Galloway, Sr.",RI,7,Granite,125058,72.5,29.25,9066705,3657946.5,890725.61,13615377.11
245702,Bill Gates,KY,6,Trampoline,202502,20.78,13.33,4207991.56,2699351.66,414440.59,7321783.81
245773,Monty Hall,RI,7,Dirt,207431,0.78,3.33,161796.18,690745.23,59677.9,912219.31
245813,Steve Jobs,TX,8.19,Distressed Red Oak,256539,18.57,23.33,4763929.23,5985054.87,880341.8,11629325.9
245891,Charles Babbage,AK,1.76,Granite,125859,72.5,29.25,9124777.5,3681375.75,225388.3,13031541.55
245896,"Adams, Douglas",ZZ,9.46,Bamboo,283198,18.5,9.25,5239163,2619581.5,743437.23,8602181.73
245896,Jean Ichbiah,ZZ,9.46,Asphalt,162219,10.78,13.33,1748720.82,2162379.27,369990.07,4281090.16
245961,"Alan M. Galloway, Sr.",OH,7.14,Tile,256319,1.5,14.3,384478.5,3665361.7,289158.59,4338998.79
245979,"Alan M. Galloway, Sr.",WY,9.46,Tile,174493,1.5,14.3,261739.5,2495249.9,260811.2,3017800.6
246012,"Alan M. Galloway, Jr.",AK,1.76,Trampoline,168075,20.78,13.33,3492598.5,2240439.75,100901.47,5833939.72
		246111,"Monsters Inc.",DN,9.46,Straw,1290,1.8,3.25,2322,4192.5,616.27,7130.77
246141,Apple,AK,1.76,Mosaic Tile,189413,18.5,49.25,3504140.5,9328590.25,225856.06,13058586.81
246141,"Alphabet",TX,8.19,Wood,196860,12.5,9.25,2460750,1820955,350671.64,4632376.64
246170,"Microsoft, Inc.",II,9.46,Bamboo,6630,18.5,9.25,122655,61327.5,17404.74,201387.24
246175,Jean Ichbiah,WY,9.46,Asphalt,111440,10.78,13.33,1201323.2,1485495.2,254173.02,2940991.42
246220,"Alan M. Galloway, Sr.",XX,9.46,Distressed Red Oak,252571,18.57,23.33,4690243.47,5892481.43,1001125.78,11583850.68

246291,Alex Trebek,DN,9.46,Straw,241044,1.8,3.25,433879.2,783393,115153.95,1332426.15
246312,"Alphabet",XX,9.46,Distressed Red Oak,222161,18.57,23.33,4125529.77,5183016.13,880588.44,10189134.34
246342,Steve Jobs,LO,9.46,Mosaic Tile,4485,18.5,49.25,82972.5,220886.25,28745.04,332603.79
246342,Charles Darwin,HI,4.35,Dirt,217022,0.78,3.33,169277.16,722683.26,38800.28,930760.7
246354,Penn Jillette,II,9.46,Carpet,100846,12.5,6.3,1260575,635329.8,179352.59,2075257.39
		246415,Charles Babbage,KY,6,Trampoline,77547,20.78,13.33,1611426.66,1033701.51,158707.69,2803835.86
246465,"Thurston Howell, III",XX,9.46,Granite,176175,72.5,29.25,12772687.5,5153118.75,1695781.27,19621587.52
246480,"Monsters Inc.",ZZ,9.46,Straw,230053,1.8,3.25,414095.4,747672.25,109903.22,1271670.87
246487,"Adams, Douglas",II,9.46,Distressed Red Oak,294120,18.57,23.33,5461808.4,6861819.6,1165815.21,13489443.21
246523,Bill Gates,TX,8.19,Granite,157215,72.5,29.25,11398087.5,4598538.75,1310123.69,17306749.94
246560,Charles Darwin,DN,9.46,Granite,98269,72.5,29.25,7124502.5,2874368.25,945893.17,10944763.92
246610,Elon Musk,KY,6,Tile,157975,1.5,14.3,236962.5,2259042.5,149760.3,2645765.3
246610,Bill Gates,DN,9.46,Asphalt,9390,10.78,13.33,101224.2,125168.7,21416.77,247809.67
246672,Jaden Smith,DN,9.46,Dirt,157435,0.78,3.33,122799.3,524258.55,61211.67,708269.52
246740,Louisville Llama Farm,LO,9.46,Mosaic Tile,195024,18.5,49.25,3607944,9604932,1249938.07,14462814.07
,what,wut?246762,Ada Lovelace,RI,7,Tile,171552,1.5,14.3,257328,2453193.6,189736.51,2900258.11
		246840,"Alan M. Galloway, Sr.",LO,9.46,Carpet,78963,12.5,6.3,987037.5,497466.9,140434.12,1624938.52

246870,Albert Einstein,II,9.46,Tile,78886,1.5,14.3,118329,1128069.8,117909.33,1364308.13
246960,Charles Darwin,DN,9.46,Carpet,146179,12.5,6.3,1827237.5,920927.7,259976.43,3008141.63
