OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1834,"Tractor Supply Co.",HI,4.35,Distressed Red Oak,70637,18.57,23.33,1311729.09,1647961.21,128746.53,3088436.83
1834,Apple,TX,8.19,Tile,127694,1.5,14.3,191541,1826024.2,165238.59,2182803.79
1845,"Monsters Inc.",II,9.46,Marble,194418,88.73,34.25,17250709.14,6658816.5,2261841.13,26171366.77
1845,Thomas J. Watson,XX,9.46,Asphalt,1195,10.78,13.33,12882.1,15929.35,2725.56,31537.01
1885,Bill Gates,XX,9.46,Carpet,169365,12.5,6.3,2117062.5,1066999.5,301212.27,3485274.27
1904,Elon Musk,LO,9.46,Dirt,255981,0.78,3.33,199665.18,852416.73,99526.95,1151608.86
1904,Alex Trebek,LO,9.46,Bamboo,84922,18.5,9.25,1571057,785528.5,222932.99,2579518.49
2003,Louisville Llama Farm,AK,1.76,Bamboo,56434,18.5,9.25,1044029,522014.5,27562.37,1593605.87
2052,Albert Einstein,TX,8.19,Mosaic Tile,131085,18.5,49.25,2425072.5,6455936.25,727354.62,9608363.37
2084,Charles Darwin,OH,7.14,Straw,125951,1.8,3.25,226711.8,409340.75,45414.15,681466.7
		2089,Steve Jobs,AK,1.76,Granite,90404,72.5,29.25,6554290,2644317,161895.48,9360502.48
2127,Jaden Smith,HI,4.35,Asphalt,92634,10.78,13.33,998594.52,1234811.22,97153.15,2330558.89
2143,Charles Darwin,RI,7,Mosaic Tile,157198,18.5,49.25,2908163,7742001.5,745511.52,11395676.02
2236,"Alphabet",XX,9.46,Bamboo,150355,18.5,9.25,2781567.5,1390783.75,394704.43,4567055.68
2283,Louisville Llama Farm,AK,1.76,Distressed Red Oak,273284,18.57,23.33,5074883.88,6375715.72,201530.55,11652130.15
2305,"Thurston Howell, III",LO,9.46,Dirt,196998,0.78,3.33,153658.44,656003.34,76594,886255.78

2402,Bill Gates,II,9.46,Asphalt,127827,10.78,13.33,1377975.06,1703933.91,291548.59,3373457.56
2482,Jean Ichbiah,LO,9.46,Marble,92755,88.73,34.25,8230151.15,3176858.75,1079103.14,12486113.04
2581,"Alan M. Galloway, Jr.",XX,9.46,Mosaic Tile,269910,18.5,49.25,4993335,13293067.5,1729893.68,20016296.18
2635,Elon Musk,ZZ,9.46,Trampoline,75452,20.78,13.33,1567892.56,1005775.16,243468.97,2817136.69
2667,Ada Lovelace,TX,8.19,Distressed Red Oak,72410,18.57,23.33,1344653.7,1689325.3,248482.88,3282461.88
		2667,Penn Jillette,HI,4.35,Disco Light Up Panels,118099,40.78,23.33,4816077.22,2755249.67,329352.72,7900679.61
2719,Thomas J. Watson,WY,9.46,Carpet,53523,12.5,6.3,669037.5,337194.9,95189.59,1101421.99
