OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
105019,Penn Jillette,KY,6,Marble,118516,88.73,34.25,10515924.68,4059173,874505.86,15449603.54
105094,"Monsters Inc.",OH,7.14,Disco Light Up Panels,180265,40.78,23.33,7351206.7,4205582.45,825154.75,12381943.9
105145,Steve Jobs,AK,1.76,Straw,275428,1.8,3.25,495770.4,895141,24480.04,1415391.44
105194,Bill Gates,XX,9.46,Straw,287601,1.8,3.25,517681.8,934703.25,137395.63,1589780.68
105269,Charles Darwin,HI,4.35,Tile,170876,1.5,14.3,256314,2443526.8,117443.07,2817283.87
105284,Apple,ZZ,9.46,Carpet,264292,12.5,6.3,3303650,1665039.6,470038.04,5438727.64
105348,Louisville Llama Farm,ZZ,9.46,Dirt,79647,0.78,3.33,62124.66,265224.51,30967.23,358316.4
105427,"Thurston Howell, III",OH,7.14,Dirt,273911,0.78,3.33,213650.58,912123.63,80380.28,1206154.49
105427,Louisville Llama Farm,DN,9.46,Bamboo,250925,18.5,9.25,4642112.5,2321056.25,658715.76,7621884.51
105523,Bill Gates,TX,8.19,Carpet,77229,12.5,6.3,965362.5,486542.7,118911.04,1570816.24
		105618,"Alan M. Galloway, Jr.",II,9.46,Mosaic Tile,298346,18.5,49.25,5519401,14693540.5,1912144.27,22125085.77
105649,"Microsoft, Inc.",OH,7.14,Granite,199061,72.5,29.25,14431922.5,5822534.25,1446168.21,21700624.96
105706,"Microsoft, Inc.",LO,9.46,Disco Light Up Panels,45128,40.78,23.33,1840319.84,1052836.24,273692.57,3166848.65
105710,"Thurston Howell, III",II,9.46,Bamboo,123362,18.5,9.25,2282197,1141098.5,323843.75,3747139.25
105733,"Alan M. Galloway, Sr.",II,9.46,Distressed Red Oak,287267,18.57,23.33,5334548.19,6701939.11,1138651.7,13175139
105772,Charles Babbage,ZZ,9.46,Wood,246244,12.5,9.25,3078050,2277757,506659.34,5862466.34

105784,"Alan M. Galloway, Jr.",II,9.46,Granite,126059,72.5,29.25,9139277.5,3687225.75,1213387.21,14039890.46
105784,"Monsters Inc.",RI,7,Marble,3489,88.73,34.25,309578.97,119498.25,30035.41,459112.63
105843,Thomas J. Watson,KY,6,Asphalt,133365,10.78,13.33,1437674.7,1777755.45,192925.81,3408355.96
105858,Steve Jobs,RI,7,Tile,116078,1.5,14.3,174117,1659915.4,128382.27,1962414.67
105882,"Thurston Howell, III",LO,9.46,Trampoline,223294,20.78,13.33,4640049.32,2976509.02,720526.42,8337084.76
