OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
328393,Louisville Llama Farm,II,9.46,Straw,38876,1.8,3.25,69976.8,126347,18572.23,214896.03
328426,Jaden Smith,OH,7.14,Carpet,214939,12.5,6.3,2686737.5,1354115.7,288516.92,4329370.12
328426,"Tractor Supply Co.",HI,4.35,Laminate,51585,4.5,9.8,232132.5,505533,32088.45,769753.95
328427,"Thurston Howell, III",OH,7.14,Tile,7093,1.5,14.3,10639.5,101429.9,8001.76,120071.16
328445,Steve Jobs,DN,9.46,Distressed Red Oak,106417,18.57,23.33,1976163.69,2482708.61,421809.32,4880681.62
328487,Monty Hall,HI,4.35,Wood,173866,12.5,9.25,2173325,1608260.5,164498.97,3946084.47
328561,Jaden Smith,RI,7,Tile,271034,1.5,14.3,406551,3875786.2,299763.6,4582100.8
328630,Elon Musk,II,9.46,Disco Light Up Panels,119644,40.78,23.33,4879082.32,2791294.52,725617.65,8395994.49
328668,"Microsoft, Inc.",DN,9.46,Marble,240449,88.73,34.25,21335039.77,8235378.25,2797361.54,32367779.56
328731,The Boring Company,XX,9.46,Disco Light Up Panels,13293,40.78,23.33,542088.54,310125.69,80619.47,932833.7
		328758,Jaden Smith,ZZ,9.46,Distressed Red Oak,27546,18.57,23.33,511529.22,642648.18,109185.18,1263362.58
328786,Monty Hall,HI,4.35,Carpet,100483,12.5,6.3,1256037.5,633042.9,82175,1971255.4
328866,"Alan M. Galloway, Sr.",ZZ,9.46,Carpet,26223,12.5,6.3,327787.5,165204.9,46637.08,539629.48
328934,"Microsoft, Inc.",WY,9.46,Tile,245646,1.5,14.3,368469,3512737.8,367162.16,4248368.96
328995,"Microsoft, Inc.",RI,7,Straw,72759,1.8,3.25,130966.2,236466.75,25720.31,393153.26
329062,Louisville Llama Farm,AK,1.76,Wood,180060,12.5,9.25,2250750,1665555,68926.97,3985231.97

329114,Alex Trebek,HI,4.35,Marble,95263,88.73,34.25,8452685.99,3262757.75,509621.8,12225065.54
329137,"Adams, Douglas",RI,7,Trampoline,186009,20.78,13.33,3865267.02,2479499.97,444133.69,6788900.68
329154,Jaden Smith,ZZ,9.46,Marble,73774,88.73,34.25,6545967.02,2526759.5,858279.93,9931006.45
329154,Jaden Smith,RI,7,Bamboo,58141,18.5,9.25,1075608.5,537804.25,112938.89,1726351.64
329163,The Boring Company,WY,9.46,Asphalt,170994,10.78,13.33,1843315.32,2279350.02,390004.14,4512669.48
		329231,Charles Darwin,II,9.46,Wood,72242,12.5,9.25,903025,668238.5,148641.53,1719905.03
329231,Apple,TX,8.19,Mosaic Tile,129863,18.5,49.25,2402465.5,6395752.75,720574.07,9518792.32
329297,Alex Trebek,HI,4.35,Laminate,32767,4.5,9.8,147451.5,321116.6,20382.71,488950.81
329316,"Alphabet",WY,9.46,Carpet,221487,12.5,6.3,2768587.5,1395368.1,393910.2,4557865.8
329319,Charles Babbage,XX,9.46,Dirt,11588,0.78,3.33,9038.64,38588.04,4505.48,52132.16
329407,Charles Darwin,AK,1.76,Bamboo,1666,18.5,9.25,30821,15410.5,813.67,47045.17
329412,Albert Einstein,OH,7.14,Straw,241913,1.8,3.25,435443.4,786217.25,87226.57,1308887.22
329497,Albert Einstein,WY,9.46,Trampoline,100027,20.78,13.33,2078561.06,1333359.91,322767.72,3734688.69
329497,Louisville Llama Farm,XX,9.46,Mosaic Tile,213379,18.5,49.25,3947511.5,10508915.75,1367578.02,15824005.27
