OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
277507,Bill Gates,KY,6,Straw,21648,1.8,3.25,38966.4,70356,6559.34,115881.74
277569,Albert Einstein,OH,7.14,Asphalt,102908,10.78,13.33,1109348.24,1371763.64,177151.39,2658263.27
277637,Thomas J. Watson,WY,9.46,Laminate,140108,4.5,9.8,630486,1373058.4,189535.3,2193079.7
277694,"Microsoft, Inc.",XX,9.46,Wood,96141,12.5,9.25,1201762.5,889304.25,197814.91,2288881.66
277763,Elon Musk,AK,1.76,Mosaic Tile,230025,18.5,49.25,4255462.5,11328731.25,274281.81,15858475.56
277799,Monty Hall,II,9.46,Mosaic Tile,210094,18.5,49.25,3886739,10347129.5,1346523.96,15580392.46
277856,Louisville Llama Farm,OH,7.14,Laminate,16856,4.5,9.8,75852,165188.8,17210.31,258251.11
277892,Albert Einstein,TX,8.19,Laminate,244579,4.5,9.8,1100605.5,2396874.2,286443.59,3783923.29
277897,The Boring Company,LO,9.46,Straw,244823,1.8,3.25,440681.4,795674.75,116959.29,1353315.44
277918,"Monsters Inc.",LO,9.46,Marble,283349,88.73,34.25,25141556.77,9704703.25,3296456.2,38142716.22
		277991,"Alan M. Galloway, Sr.",HI,4.35,Trampoline,289904,20.78,13.33,6024205.12,3864420.32,430155.21,10318780.65
277991,Albert Einstein,LO,9.46,Bamboo,81127,18.5,9.25,1500849.5,750424.75,212970.54,2464244.79
278027,Penn Jillette,AK,1.76,Dirt,185826,0.78,3.33,144944.28,618800.58,13441.91,777186.77
278064,Thomas J. Watson,DN,9.46,Bamboo,76836,18.5,9.25,1421466,710733,201706.03,2333905.03
278124,"Thurston Howell, III",AK,1.76,Granite,134042,72.5,29.25,9718045,3920728.5,240042.41,13878815.91
278124,The Boring Company,WY,9.46,Granite,5394,72.5,29.25,391065,157774.5,51920.22,600759.72

278164,Penn Jillette,OH,7.14,Asphalt,15240,10.78,13.33,164287.2,203149.2,26234.96,393671.36
278190,Ada Lovelace,TX,8.19,Granite,162978,72.5,29.25,11815905,4767106.5,1358148.64,17941160.14
278209,Jean Ichbiah,DN,9.46,Granite,125439,72.5,29.25,9094327.5,3669090.75,1207419.37,13970837.62
278252,Penn Jillette,HI,4.35,Wood,5646,12.5,9.25,70575,52225.5,5341.82,128142.32
278290,"Thurston Howell, III",ZZ,9.46,Straw,144278,1.8,3.25,259700.4,468903.5,68925.93,797529.83
		278354,Apple,TX,8.19,Wood,147991,12.5,9.25,1849887.5,1368916.75,263620.07,3482424.32
278380,Charles Darwin,AK,1.76,Wood,123299,12.5,9.25,1541237.5,1140515.75,47198.86,2728952.11
278422,Thomas J. Watson,AK,1.76,Carpet,34980,12.5,6.3,437250,220374,11574.18,669198.18
278506,"Tractor Supply Co.",TX,8.19,Granite,110037,72.5,29.25,7977682.5,3218582.25,916974.08,12113238.83
278565,"Microsoft, Inc.",RI,7,Trampoline,250694,20.78,13.33,5209421.32,3341751.02,598582.06,9149754.4
278565,Charles Darwin,DN,9.46,Straw,256675,1.8,3.25,462015,834193.75,122621.35,1418830.1
278659,"Adams, Douglas",OH,7.14,Wood,80270,12.5,9.25,1003375,742497.5,124655.3,1870527.8
278748,Monty Hall,KY,6,Wood,237651,12.5,9.25,2970637.5,2198271.75,310134.56,5479043.81
278777,Bill Gates,II,9.46,Bamboo,285112,18.5,9.25,5274572,2637286,748461.77,8660319.77
278842,Alex Trebek,KY,6,Straw,266149,1.8,3.25,479068.2,864984.25,80643.15,1424695.6
,what,wut?278927,"Alphabet",ZZ,9.46,Straw,256997,1.8,3.25,462594.6,835240.25,122775.18,1420610.03
		278981,"Tractor Supply Co.",WY,9.46,Marble,214725,88.73,34.25,19052549.25,7354331.25,2498090.9,28904971.4

279056,"Tractor Supply Co.",II,9.46,Distressed Red Oak,156643,18.57,23.33,2908860.51,3654481.19,620892.12,7184233.82
279079,"Alan M. Galloway, Jr.",RI,7,Carpet,189397,12.5,6.3,2367462.5,1193201.1,249246.45,3809910.05
279144,"Alphabet",DN,9.46,Asphalt,290683,10.78,13.33,3133562.74,3874804.39,662991.53,7671358.66
279214,Albert Einstein,ZZ,9.46,Marble,83850,88.73,34.25,7440010.5,2871862.5,975503.19,11287376.19
279255,Elon Musk,AK,1.76,Bamboo,40192,18.5,9.25,743552,371776,19629.77,1134957.77
279353,Charles Darwin,RI,7,Asphalt,173682,10.78,13.33,1872291.96,2315181.06,293123.11,4480596.13
