OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
261247,"Alan M. Galloway, Jr.",RI,7,Carpet,147803,12.5,6.3,1847537.5,931158.9,194508.75,2973205.15
261247,Monty Hall,KY,6,Carpet,158890,12.5,6.3,1986125,1001007,179227.92,3166359.92
261271,The Boring Company,XX,9.46,Tile,57112,1.5,14.3,85668,816701.6,85364.16,987733.76
261271,"Alphabet",RI,7,Straw,167655,1.8,3.25,301779,544878.75,59266.04,905923.79
261370,Charles Babbage,HI,4.35,Trampoline,175078,20.78,13.33,3638120.84,2333789.74,259778.11,6231688.69
261469,Alex Trebek,OH,7.14,Wood,181012,12.5,9.25,2262650,1674361,281102.59,4218113.59
261525,Albert Einstein,LO,9.46,Granite,221510,72.5,29.25,16059475,6479167.5,2132155.58,24670798.08
261545,"Microsoft, Inc.",XX,9.46,Distressed Red Oak,218569,18.57,23.33,4058826.33,5099214.77,866350.69,10024391.79
261622,Charles Darwin,RI,7,Asphalt,72483,10.78,13.33,781366.74,966198.39,122329.56,1869894.69
261629,Penn Jillette,XX,9.46,Straw,95185,1.8,3.25,171333,309351.25,45472.73,526156.98
		261652,Charles Darwin,II,9.46,Wood,243112,12.5,9.25,3038900,2248786,500215.1,5787901.1
261690,Steve Jobs,AK,1.76,Granite,135444,72.5,29.25,9819690,3961737,242553.12,14023980.12
261707,Elon Musk,OH,7.14,Tile,61302,1.5,14.3,91953,876618.6,69156.01,1037727.61
261786,Alex Trebek,TX,8.19,Carpet,237015,12.5,6.3,2962687.5,1493194.5,364936.74,4820818.74
261786,"Alan M. Galloway, Jr.",LO,9.46,Asphalt,16886,10.78,13.33,182031.08,225090.38,38513.69,445635.15
261826,"Alan M. Galloway, Jr.",OH,7.14,Dirt,152329,0.78,3.33,118816.62,507255.57,44701.55,670773.74

261837,"Alan M. Galloway, Sr.",RI,7,Distressed Red Oak,175086,18.57,23.33,3251347.02,4084756.38,513527.24,7849630.64
261922,Jean Ichbiah,II,9.46,Wood,69295,12.5,9.25,866187.5,640978.75,142577.93,1649744.18
261986,Louisville Llama Farm,TX,8.19,Mosaic Tile,59820,18.5,49.25,1106670,2946135,331924.73,4384729.73
262041,"Monsters Inc.",ZZ,9.46,Dirt,148680,0.78,3.33,115970.4,495104.4,57807.68,668882.48
262084,Jean Ichbiah,KY,6,Asphalt,34253,10.78,13.33,369247.34,456592.49,49550.39,875390.22
		262163,Charles Darwin,ZZ,9.46,Mosaic Tile,246490,18.5,49.25,4560065,12139632.5,1579791.38,18279488.88
262217,"Alphabet",TX,8.19,Mosaic Tile,15970,18.5,49.25,295445,786522.5,88613.14,1170580.64
262314,Bill Gates,RI,7,Laminate,3179,4.5,9.8,14305.5,31154.2,3182.18,48641.88
262322,Apple,RI,7,Straw,154090,1.8,3.25,277362,500792.5,54470.82,832625.32
262396,"Alan M. Galloway, Sr.",OH,7.14,Distressed Red Oak,262955,18.57,23.33,4883074.35,6134740.15,786671.96,11804486.46
262405,Jean Ichbiah,RI,7,Disco Light Up Panels,210024,40.78,23.33,8564778.72,4899859.92,942524.7,14407163.34
262480,"Thurston Howell, III",OH,7.14,Distressed Red Oak,119174,18.57,23.33,2213061.18,2780329.42,356528.09,5349918.69
262514,The Boring Company,LO,9.46,Disco Light Up Panels,149055,40.78,23.33,6078462.9,3477453.15,903989.66,10459905.71
262514,Bill Gates,XX,9.46,Carpet,289875,12.5,6.3,3623437.5,1826212.5,515536.89,5965186.89
262612,Penn Jillette,ZZ,9.46,Distressed Red Oak,2218,18.57,23.33,41188.26,51745.94,8791.58,101725.78
,what,wut?262612,Charles Babbage,TX,8.19,Asphalt,292395,10.78,13.33,3152018.1,3897625.35,577365.8,7627009.25
		262646,Grace Murray Hopper,II,9.46,Marble,113002,88.73,34.25,10026667.46,3870318.5,1314654.87,15211640.83

262705,Elon Musk,XX,9.46,Distressed Red Oak,166703,18.57,23.33,3095674.71,3889180.99,660767.35,7645623.05
262706,"Alan M. Galloway, Sr.",KY,6,Bamboo,36681,18.5,9.25,678598.5,339299.25,61073.87,1078971.62
262775,The Boring Company,II,9.46,Disco Light Up Panels,161547,40.78,23.33,6587886.66,3768891.51,979751.21,11336529.38
262796,Apple,ZZ,9.46,Asphalt,221647,10.78,13.33,2389354.66,2954554.51,505533.81,5849442.98
262890,Jean Ichbiah,RI,7,Trampoline,131247,20.78,13.33,2727312.66,1749522.51,313378.46,4790213.63
262907,Alex Trebek,KY,6,Carpet,233781,12.5,6.3,2922262.5,1472820.3,263704.97,4658787.77
