OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
284799,"Monsters Inc.",ZZ,9.46,Mosaic Tile,190777,18.5,49.25,3529374.5,9395767.25,1222718.41,14147860.16
284898,Apple,KY,6,Laminate,236183,4.5,9.8,1062823.5,2314593.4,202645.01,3580061.91
284961,Bill Gates,HI,4.35,Granite,78294,72.5,29.25,5676315,2290099.5,346539.03,8312953.53
285004,Ada Lovelace,WY,9.46,Mosaic Tile,201726,18.5,49.25,3731931,9935005.5,1292892.19,14959828.69
285057,Albert Einstein,KY,6,Straw,242337,1.8,3.25,436206.6,787595.25,73428.11,1297229.96
285113,Monty Hall,HI,4.35,Wood,2842,12.5,9.25,35525,26288.5,2688.89,64502.39
285160,"Alphabet",XX,9.46,Granite,127422,72.5,29.25,9238095,3727093.5,1226506.83,14191695.33
285250,"Alan M. Galloway, Jr.",II,9.46,Carpet,139484,12.5,6.3,1743550,878749.2,248069.5,2870368.7
285250,Apple,II,9.46,Laminate,90943,4.5,9.8,409243.5,891241.4,123025.87,1423510.77
285303,Alex Trebek,DN,9.46,Laminate,86196,4.5,9.8,387882,844720.8,116604.22,1349207.02
		285371,Louisville Llama Farm,II,9.46,Laminate,143181,4.5,9.8,644314.5,1403173.8,193692.39,2241180.69
285423,Penn Jillette,RI,7,Wood,210818,12.5,9.25,2635225,1950066.5,320970.41,4906261.91
285439,Charles Darwin,DN,9.46,Dirt,292740,0.78,3.33,228337.2,974824.2,113819.07,1316980.47
285439,Ada Lovelace,XX,9.46,Laminate,166772,4.5,9.8,750474,1634365.6,225605.83,2610445.43
285468,Charles Babbage,TX,8.19,Mosaic Tile,198780,18.5,49.25,3677430,9789915,1102975.56,14570320.56
285485,Penn Jillette,RI,7,Distressed Red Oak,53536,18.57,23.33,994163.52,1248994.88,157021.09,2400179.49

285521,"Monsters Inc.",ZZ,9.46,Distressed Red Oak,9867,18.57,23.33,183230.19,230197.11,39110.22,452537.52
285521,Bill Gates,LO,9.46,Mosaic Tile,131001,18.5,49.25,2423518.5,6451799.25,839605.06,9714922.81
285589,Louisville Llama Farm,RI,7,Tile,229339,1.5,14.3,344008.5,3279547.7,253648.93,3877205.13
285688,"Alan M. Galloway, Jr.",KY,6,Dirt,288483,0.78,3.33,225016.74,960648.39,71139.91,1256805.04
285779,Thomas J. Watson,XX,9.46,Mosaic Tile,158847,18.5,49.25,2938669.5,7823214.75,1018074.25,11779958.5
		285841,Monty Hall,HI,4.35,Laminate,49314,4.5,9.8,221913,483277.2,30675.77,735865.97
285932,"Alphabet",KY,6,Distressed Red Oak,19006,18.57,23.33,352941.42,443409.98,47781.08,844132.48
285980,Jean Ichbiah,ZZ,9.46,Disco Light Up Panels,122141,40.78,23.33,4980909.98,2849549.53,740761.47,8571220.98
286049,"Adams, Douglas",II,9.46,Granite,185620,72.5,29.25,13457450,5429385,1786694.59,20673529.59
286108,"Microsoft, Inc.",ZZ,9.46,Disco Light Up Panels,285630,40.78,23.33,11647991.4,6663747.9,1732290.54,20044029.84
286183,"Monsters Inc.",DN,9.46,Wood,265470,12.5,9.25,3318375,2455597.5,546217.8,6320190.3
286206,"Microsoft, Inc.",ZZ,9.46,Granite,293767,72.5,29.25,21298107.5,8592684.75,2827668.95,32718461.2
286295,Penn Jillette,DN,9.46,Straw,14439,1.8,3.25,25990.2,46926.75,6897.94,79814.89
286343,Charles Babbage,WY,9.46,Mosaic Tile,128463,18.5,49.25,2376565.5,6326802.75,823338.64,9526706.89
286427,Louisville Llama Farm,DN,9.46,Straw,239592,1.8,3.25,431265.6,778674,114460.29,1324399.89
,what,wut?286470,Elon Musk,WY,9.46,Marble,258354,88.73,34.25,22923750.42,8848624.5,3005666.67,34778041.59
		286498,"Alan M. Galloway, Jr.",II,9.46,Bamboo,96843,18.5,9.25,1791595.5,895797.75,254227.4,2941620.65

286564,Penn Jillette,LO,9.46,Trampoline,135748,20.78,13.33,2820843.44,1809520.84,438032.46,5068396.74
