OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
361199,Monty Hall,XX,9.46,Bamboo,130075,18.5,9.25,2406387.5,1203193.75,341466.39,3951047.64
361223,Apple,TX,8.19,Distressed Red Oak,230108,18.57,23.33,4273105.56,5368419.64,789640.91,10431166.11
361308,Ada Lovelace,LO,9.46,Mosaic Tile,8634,18.5,49.25,159729,425224.5,55336.6,640290.1
361401,"Monsters Inc.",ZZ,9.46,Asphalt,68871,10.78,13.33,742429.38,918050.43,157081.39,1817561.2
361414,Ada Lovelace,XX,9.46,Laminate,112108,4.5,9.8,504486,1098658.4,151657.46,1754801.86
361448,Ada Lovelace,ZZ,9.46,Distressed Red Oak,124137,18.57,23.33,2305224.09,2896116.21,492046.79,5693387.09
361541,Thomas J. Watson,RI,7,Disco Light Up Panels,275663,40.78,23.33,11241537.14,6431217.79,1237092.85,18909847.78
361547,Apple,ZZ,9.46,Wood,255317,12.5,9.25,3191462.5,2361682.25,525327.49,6078472.24
361590,Grace Murray Hopper,ZZ,9.46,Distressed Red Oak,263245,18.57,23.33,4888459.65,6141505.85,1043434.74,12073400.24
361665,Alex Trebek,XX,9.46,Disco Light Up Panels,279921,40.78,23.33,11415178.38,6530556.93,1697666.56,19643401.87
		361699,"Microsoft, Inc.",DN,9.46,Laminate,45488,4.5,9.8,204696,445782.4,61535.26,712013.66
361764,"Thurston Howell, III",LO,9.46,Trampoline,157591,20.78,13.33,3274740.98,2100688.03,508515.58,5883944.59
361839,"Thurston Howell, III",WY,9.46,Trampoline,41817,20.78,13.33,868957.26,557420.61,134935.35,1561313.22
361869,"Alan M. Galloway, Jr.",HI,4.35,Bamboo,58758,18.5,9.25,1087023,543511.5,70928.25,1701462.75
361951,The Boring Company,HI,4.35,Wood,213932,12.5,9.25,2674150,1978871,202406.41,4855427.41
361979,"Alphabet",RI,7,Wood,173516,12.5,9.25,2168950,1605023,264178.11,4038151.11

361995,"Thurston Howell, III",ZZ,9.46,Laminate,273905,4.5,9.8,1232572.5,2684269,370533.21,4287374.71
362012,Monty Hall,KY,6,Wood,114415,12.5,9.25,1430187.5,1058338.75,149311.58,2637837.83
362012,The Boring Company,DN,9.46,Distressed Red Oak,195425,18.57,23.33,3629042.25,4559265.25,774613.89,8962921.39
362059,Ada Lovelace,LO,9.46,Bamboo,222531,18.5,9.25,4116823.5,2058411.75,584177.25,6759412.5
362115,Penn Jillette,OH,7.14,Distressed Red Oak,124781,18.57,23.33,2317183.17,2911140.73,373302.33,5601626.23
		362191,Penn Jillette,DN,9.46,Wood,211861,12.5,9.25,2648262.5,1959714.25,435914.6,5043891.35
362213,Grace Murray Hopper,AK,1.76,Dirt,20210,0.78,3.33,15763.8,67299.3,1461.91,84525.01
