OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
313058,Elon Musk,II,9.46,Distressed Red Oak,254079,18.57,23.33,4718247.03,5927663.07,1007103.1,11653013.2
313084,Alex Trebek,OH,7.14,Marble,101838,88.73,34.25,9036085.74,3487951.5,894216.26,13418253.5
313092,Thomas J. Watson,XX,9.46,Disco Light Up Panels,171565,40.78,23.33,6996420.7,4002611.45,1040508.44,12039540.59
313111,"Thurston Howell, III",LO,9.46,Tile,279139,1.5,14.3,418708.5,3991687.7,417223.48,4827619.68
313140,Thomas J. Watson,LO,9.46,Distressed Red Oak,39788,18.57,23.33,738863.16,928254.04,157709.29,1824826.49
313229,"Alan M. Galloway, Sr.",ZZ,9.46,Dirt,274089,0.78,3.33,213789.42,912716.37,106567.45,1233073.24
313229,"Alan M. Galloway, Sr.",WY,9.46,Wood,249430,12.5,9.25,3117875,2307227.5,513214.7,5938317.2
313244,"Monsters Inc.",ZZ,9.46,Bamboo,195832,18.5,9.25,3622892,1811446,514088.37,5948426.37
313289,"Alan M. Galloway, Jr.",XX,9.46,Dirt,250733,0.78,3.33,195571.74,834940.89,97486.49,1127999.12
313337,Jaden Smith,XX,9.46,Granite,97966,72.5,29.25,7102535,2865505.5,942976.63,10911017.13
		313424,Grace Murray Hopper,RI,7,Wood,70396,12.5,9.25,879950,651163,107177.91,1638290.91
313469,Thomas J. Watson,AK,1.76,Marble,299921,88.73,34.25,26611990.33,10272294.25,649163.41,37533447.99
313487,Monty Hall,RI,7,Bamboo,33823,18.5,9.25,625725.5,312862.75,65701.18,1004289.43
313526,"Monsters Inc.",TX,8.19,Disco Light Up Panels,134981,40.78,23.33,5504525.18,3149106.73,708732.45,9362364.36
313564,Monty Hall,KY,6,Tile,256638,1.5,14.3,384957,3669923.4,243292.82,4298173.22
313590,Grace Murray Hopper,AK,1.76,Wood,130031,12.5,9.25,1625387.5,1202786.75,49775.87,2877950.12

313617,"Alan M. Galloway, Jr.",DN,9.46,Marble,247231,88.73,34.25,21936806.63,8467661.75,2876262.71,33280731.09
313656,The Boring Company,DN,9.46,Trampoline,13584,20.78,13.33,282275.52,181074.72,43832.93,507183.17
313656,Alex Trebek,TX,8.19,Mosaic Tile,158646,18.5,49.25,2934951,7813315.5,880283.03,11628549.53
313682,Charles Darwin,ZZ,9.46,Laminate,-55,4.5,9.8,-247.5,-539,-74.4,-860.9
313763,Charles Darwin,DN,9.46,Granite,6344,72.5,29.25,459940,185562,61064.49,706566.49
		313799,The Boring Company,II,9.46,Trampoline,19807,20.78,13.33,411589.46,264027.31,63913.35,739530.12
313871,"Alphabet",ZZ,9.46,Distressed Red Oak,8826,18.57,23.33,163898.82,205910.58,34983.97,404793.37
313933,"Tractor Supply Co.",TX,8.19,Laminate,103100,4.5,9.8,463950,1010380,120747.63,1595077.63
313934,Louisville Llama Farm,TX,8.19,Mosaic Tile,222926,18.5,49.25,4124131,10979105.5,1236955.07,16340191.57
313991,Monty Hall,ZZ,9.46,Trampoline,144391,20.78,13.33,3000444.98,1924732.03,465921.75,5391098.76
314078,Louisville Llama Farm,OH,7.14,Bamboo,37808,18.5,9.25,699448,349724,74910.88,1124082.88
314164,Apple,KY,6,Trampoline,215620,20.78,13.33,4480583.6,2874214.6,441287.89,7796086.09
314230,"Alan M. Galloway, Sr.",TX,8.19,Tile,167114,1.5,14.3,250671,2389730.2,216248.86,2856650.06
314230,Jaden Smith,WY,9.46,Laminate,158809,4.5,9.8,714640.5,1556328.2,214833.64,2485802.34
